heldout_fold,flood_bin,n_tiles,mean_flood_fraction,median_flood_fraction,min_flood_fraction,max_flood_fraction,total_valid_pixels,total_flood_pixels,total_flood_fraction,percent_tiles_within_fold
fp1,0-1%,53,0.0028034991460764453,0.0011476664116296864,0.0,0.009731567903914334,893731,5505,0.0061595715041774315,0.07152496626180836
fp1,1-5%,100,0.0300437689802336,0.02889824606520295,0.010044114728824168,0.049808897722060846,6016568,182464,0.030326923920746846,0.1349527665317139
fp1,10-25%,173,0.1627711068190622,0.15810053306043897,0.10067790399413705,0.24791982715027813,10351448,1695664,0.16380935304896474,0.23346828609986506
fp1,25-50%,155,0.3478701733133671,0.3455810546875,0.2506382913666315,0.4925384521484375,9423708,3290087,0.3491287081475784,0.20917678812415655
fp1,5-10%,133,0.0742160733904003,0.07573163772723568,0.05068033918359298,0.09923838886429891,8106080,602552,0.07433333991275684,0.1794871794871795
fp1,>50%,127,0.7193385116019759,0.6968779084524918,0.5011138916015625,0.9986722219678587,7299855,5150117,0.7055094929967787,0.17139001349527666
fp2,0-1%,53,0.0033039686645813656,0.002197802197802198,0.0,0.009731567903914334,1480695,7664,0.005175947781278386,0.07361111111111111
fp2,1-5%,132,0.02923100670737281,0.028280394243430734,0.010044114728824168,0.049808897722060846,7929778,235175,0.029657198473904314,0.18333333333333332
fp2,10-25%,169,0.16201867605135237,0.15260835712431872,0.1002197265625,0.24722616485814142,10266786,1668652,0.1625291498235183,0.23472222222222222
fp2,25-50%,116,0.34831638630442946,0.3429162751156948,0.2506382913666315,0.49413254795440326,7024308,2446113,0.34823544183996485,0.16111111111111112
fp2,5-10%,150,0.07406305359093876,0.07475264832943024,0.05001907377737087,0.0993194580078125,9267851,688545,0.0742939220753549,0.20833333333333334
fp2,>50%,100,0.728374734648555,0.7133130157136675,0.5099767768746563,0.993865966796875,5508492,3866942,0.7019964810695922,0.1388888888888889
fp3,0-1%,45,0.002949802873249414,0.0009307861328125,0.0,0.009731567903914334,1232358,6421,0.005210336606732784,0.06944444444444445
fp3,1-5%,124,0.02885070935079066,0.02653643453568162,0.010044114728824168,0.049808897722060846,7730366,226166,0.029256829495524533,0.19135802469135801
fp3,10-25%,151,0.15642049356563864,0.15188594006033784,0.1002197265625,0.24722616485814142,9324397,1470456,0.15769984911624849,0.2330246913580247
fp3,25-50%,119,0.34366226347677764,0.33633101763493395,0.2506382913666315,0.49413254795440326,7214043,2478051,0.3435037745131267,0.18364197530864199
fp3,5-10%,132,0.07367525253263206,0.07355947412092301,0.05001907377737087,0.0993194580078125,8229385,606299,0.07367488579037194,0.2037037037037037
fp3,>50%,77,0.6846733168264583,0.662567138671875,0.5011138916015625,0.993865966796875,4860957,3322164,0.683438261231276,0.11882716049382716
fp4,0-1%,19,0.0037861141935857153,0.0028676771814829987,0.00030517578125,0.009246826171875,738285,3857,0.005224269760322911,0.03298611111111111
fp4,1-5%,96,0.02996959840006898,0.02843847969683605,0.0119781494140625,0.049747579370559625,6102801,181575,0.029752731573583997,0.16666666666666666
fp4,10-25%,123,0.1591751768393928,0.152679443359375,0.1002197265625,0.24791982715027813,7708553,1225341,0.158958626865509,0.21354166666666666
fp4,25-50%,114,0.35415874345409426,0.350904270533943,0.2541656494140625,0.4925384521484375,7011707,2493945,0.3556830027267255,0.19791666666666666
fp4,5-10%,124,0.07380996178736939,0.07415998904507229,0.05001907377737087,0.0993194580078125,7870235,584480,0.07426461852790926,0.2152777777777778
fp4,>50%,100,0.7271420963844365,0.6968779084524918,0.5058306367910129,0.9986722219678587,5872148,4155735,0.7077027009537226,0.1736111111111111
fp5,0-1%,28,0.005344309654921122,0.0047454833984375,0.00030517578125,0.009731567903914334,1128259,6323,0.005604209671715449,0.042105263157894736
fp5,1-5%,119,0.029639538768163876,0.0282745361328125,0.010009765625,0.049808897722060846,7141363,214015,0.029968368783382108,0.17894736842105263
fp5,10-25%,150,0.15979020727113402,0.15228269170985642,0.1002197265625,0.24791982715027813,9237405,1472178,0.1593713818978382,0.22556390977443608
fp5,25-50%,135,0.36368368994170935,0.3680877685546875,0.2506382913666315,0.49413254795440326,8173167,2992195,0.3660998239727636,0.20300751879699247
fp5,5-10%,131,0.07265280787386556,0.0699310302734375,0.05001907377737087,0.0993194580078125,8210401,600132,0.07309411562236728,0.19699248120300752
fp5,>50%,102,0.7252670436636346,0.6742636182445361,0.5106658935546875,0.9878510256920932,5572205,3870811,0.69466414103573,0.15338345864661654
fp6,0-1%,47,0.0014066205199088691,0.0,0.0,0.009246826171875,640427,2792,0.004359591335156076,0.07833333333333334
fp6,1-5%,97,0.02837603592624783,0.02609491835800397,0.010009765625,0.048828125,6212478,176453,0.028402997966350946,0.16166666666666665
fp6,10-25%,144,0.1609109886722838,0.15565115373263128,0.1002197265625,0.24791982715027813,9214592,1488813,0.1615712339732459,0.24
fp6,25-50%,105,0.35493141089446045,0.3536376953125,0.2541656494140625,0.49413254795440326,6484106,2310628,0.3563525950994632,0.175
fp6,5-10%,143,0.07412681571920228,0.0744781494140625,0.05001907377737087,0.0993194580078125,9060290,670069,0.0739566835057156,0.23833333333333334
fp6,>50%,64,0.6873485259394257,0.6603851318359375,0.5058306367910129,0.993865966796875,3953755,2711715,0.6858581272739459,0.10666666666666667
fp7,0-1%,50,0.0025405681420073135,0.0011476664116296864,0.0,0.009040050387166092,963211,5364,0.005568873279063466,0.06535947712418301
fp7,1-5%,129,0.028846110250617202,0.02714952843146232,0.010009765625,0.049808897722060846,7694980,224070,0.029118984064935842,0.16862745098039217
fp7,10-25%,175,0.15997669342982457,0.15172929576604902,0.10053015140635264,0.24791982715027813,10545934,1703963,0.16157535216890226,0.22875816993464052
fp7,25-50%,149,0.35576430760433925,0.35714285714285715,0.2506382913666315,0.49413254795440326,8710051,3115423,0.3576813729334076,0.19477124183006536
fp7,5-10%,148,0.07344629192142794,0.07307815199359913,0.05001907377737087,0.09845421390749699,9071642,669123,0.07375985516183288,0.1934640522875817
fp7,>50%,114,0.7120324191533561,0.6639300894824576,0.5099767768746563,0.9986722219678587,6279936,4320788,0.6880305786555787,0.14901960784313725
