epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,encoder_frozen
1,0.6870264995981146,0.4235901747036863,0.2750508243011104,0.6763326972723007,0.46269803387778147,0.30766639432736803,1
2,0.6392360991901822,0.5064968428126088,0.34168829299785475,0.6441041784627097,0.5064752314771924,0.346369098339762,1
3,0.6234819215756876,0.5263604863926217,0.36180835051669014,0.6315735833985465,0.5168280452489853,0.35596191989524023,1
4,0.6098723775810666,0.528825706353894,0.36473759456917093,0.6373905731098992,0.5051607319286892,0.3461192803723471,1
5,0.5962002906534407,0.5509523528593557,0.3845579720757626,0.6140205498252597,0.5303743226187569,0.3679405759487833,1
6,0.6010090074053517,0.5386954645315806,0.3744527021491969,0.6307047328778675,0.5144122753824506,0.3514570434178625,0
7,0.5750205792762615,0.5730461527903875,0.4082387020742452,0.6054284061704364,0.5397858534540448,0.37694851415497915,0
8,0.5647502100026166,0.5843737191624112,0.41987013789238753,0.5862073323556355,0.5570500109876905,0.3940795979329518,0
9,0.5422933769446833,0.6078809902623847,0.44302021242954115,0.5613774274076734,0.6058759944779533,0.4399661698511669,0
10,0.5232915762397978,0.6278770781225629,0.46595306252991714,0.5982126316853932,0.5524940235274178,0.39169481503111975,0
11,0.5084245580214041,0.6432892575308129,0.48096152643362683,0.7506307320935386,0.43138635584286283,0.28158657039914814,0
12,0.4956217187422293,0.6595552116632462,0.497366984685262,0.5791273947272982,0.5547086383615222,0.39037085324525833,0
13,0.4807717469003465,0.6731087112868274,0.5156003090518492,0.5392835055078778,0.6130463161638805,0.44814258388110567,0
14,0.45658480900305287,0.7015952368577322,0.5451963510778215,0.5306269292320523,0.6122384582247052,0.44774196829114643,0
15,0.44299177328745526,0.7119819014160721,0.558577295254778,0.5566846664462771,0.5809772674526487,0.42000380371298107,0
16,0.4237143447001775,0.730259139780645,0.5813128423911554,0.6679200487477439,0.5121269289936338,0.3520782259958131,0
17,0.4064104993034292,0.7444104094196249,0.6014011954819715,0.5160648333174842,0.6339845912797111,0.46940082950251444,0
18,0.3810691684484482,0.7697051123336509,0.6303484991744712,0.4831227489880153,0.6610880494117737,0.5002706157309669,0
19,0.37363740111942645,0.7705577087623102,0.6343184599169979,0.4652468774999891,0.6766890798296247,0.5154073025499072,0
20,0.355009526014328,0.7866189733699516,0.6517767928264759,0.594751741204943,0.5687958363975797,0.40734531730413437,0
